,MSA,Notes,Quarter,Rate,Year,period
64,"San Jose-Sunnyvale-Santa Clara, CA",,1,5.8,2015,2015-01-01 00:00:00
65,"Seattle-Tacoma-Bellevue, WA",*,1,6.0,2015,2015-01-01 00:00:00
66,"Syracuse, NY",,1,63.6,2015,2015-01-01 00:00:00
67,Tampa-St,,1,66.6,2015,2015-01-01 00:00:00
68,"Toledo, OH",**,1,64.2,2015,2015-01-01 00:00:00
69,"Tucson, AZ ",,1,62.2,2015,2015-01-01 00:00:00
70,"Tulsa, OK",,1,67.2,2015,2015-01-01 00:00:00
71,"Urban Honolulu, HI",,1,60.2,2015,2015-01-01 00:00:00
72,"Virginia Beach-Norfolk-Newport News, VA-NC",**,1,59.5,2015,2015-01-01 00:00:00
73,"Washington-Arlington-Alexandria, DC-VA-MD-WV",**,1,64.2,2015,2015-01-01 00:00:00
74,"Worcester, MA",**,1,68.9,2015,2015-01-01 00:00:00
75,"Akron, OH ",,2,73.9,2015,2015-02-01 00:00:00
76,"Albany-Schenectady-Troy, NY ",,2,63.5,2015,2015-02-01 00:00:00
77,"Alburquerque, NM",,2,60.5,2015,2015-02-01 00:00:00
78,"Allentown-Bethlehem-Easton, PA-NJ",,2,72.7,2015,2015-02-01 00:00:00
79,"Atlanta-Sandy Springs-Roswell, GA",,2,59.9,2015,2015-02-01 00:00:00
80,"Austin-Round Rock, TX",,2,5.9,2015,2015-02-01 00:00:00
81,"Baltimore-Columbia-Towson, MD",,2,64.6,2015,2015-02-01 00:00:00
82,"Baton Rouge, LA",,2,61.1,2015,2015-02-01 00:00:00
83,"Birmingham-Hoover, AL",,2,72.5,2015,2015-02-01 00:00:00
84,"Boston-Cambridge-Newton, MA-NH",,2,58.2,2015,2015-02-01 00:00:00
85,"Bridgeport-Stamford-Norwalk, CT",,2,6.9,2015,2015-02-01 00:00:00
86,"Buffalo-Cheektowaga-Niagra Falls, NY",,2,64.4,2015,2015-02-01 00:00:00
87,"Cape Coral-Fort Myers, FL",,2,67.8,2015,2015-02-01 00:00:00
88,"Charleston-North Charleston-Summerville, SC",,2,66.3,2015,2015-02-01 00:00:00
89,"Charlotte-Concord-Gastonia, NC-SC",,2,61.8,2015,2015-02-01 00:00:00
90,"Chicago-Naperville-Elgin, IL-IN-WI",,2,64.7,2015,2015-02-01 00:00:00
91,"Cincinnati, OH-KY-IN",,2,66.8,2015,2015-02-01 00:00:00
92,"Cleveland-Elyria, OH",,2,65.9,2015,2015-02-01 00:00:00
93,"Columbia, SC",,2,64.2,2015,2015-02-01 00:00:00
94,"Columbus, OH",,2,58.2,2015,2015-02-01 00:00:00
95,Dallas-Ft,,2,55.1,2015,2015-02-01 00:00:00
96,"Dayton, OH",,2,55.1,2015,2015-02-01 00:00:00
97,"Denver-Aurora-Lakewood, CO",,2,58.2,2015,2015-02-01 00:00:00
98,"Detroit-Warren-Dearborn, MI",,2,7.3,2015,2015-02-01 00:00:00
99,"Fresno, CA",,2,56.1,2015,2015-02-01 00:00:00
100,"Grand Rapids-Wyoming, MI",,2,73.4,2015,2015-02-01 00:00:00
101,"Greensboro-High Point, NC",,2,74.9,2015,2015-02-01 00:00:00
102,"Hartford-West Hartford-East Hartford, CT",,2,67.1,2015,2015-02-01 00:00:00
103,"Houston-The Woodlands-Sugar Land, TX",,2,62.1,2015,2015-02-01 00:00:00
104,"Indianapolis-Carmel-Anderson, IN",,2,67.3,2015,2015-02-01 00:00:00
105,"Jacksonville, FL",,2,60.4,2015,2015-02-01 00:00:00
106,"Kansas City, MO-KS",,2,61.8,2015,2015-02-01 00:00:00
107,"Knoxville, TN",,2,70.1,2015,2015-02-01 00:00:00
108,"Las Vegas-Henderson-Paradise, NV",,2,5.0,2015,2015-02-01 00:00:00
109,"Little Rock-North Little Rock-Conway, AR",,2,6.3,2015,2015-02-01 00:00:00
110,"Los Angeles-Long Beach-Anaheim, CA",,2,48.5,2015,2015-02-01 00:00:00
111,"Louisville/Jefferson County, KY-IN",,2,67.3,2015,2015-02-01 00:00:00
112,"Memphis, TN-AR-MS",,2,57.8,2015,2015-02-01 00:00:00
113,"Miami-Fort Lauderdale-West Palm Beach, FL",,2,58.8,2015,2015-02-01 00:00:00
114,"Milwaukee-Waukesha-West Allis, WI",,2,59.2,2015,2015-02-01 00:00:00
115,Minneapolis-St,,2,67.9,2015,2015-02-01 00:00:00
116,"Nashville-Davidson-Murfreesboro-Franklin, TN",,2,6.5,2015,2015-02-01 00:00:00
117,"New Haven-Milford, CT",,2,6.4,2015,2015-02-01 00:00:00
118,"New Orleans-Metairie, LA",,2,59.9,2015,2015-02-01 00:00:00
119,"New York-Newark-Jersey City, NY-NJ-PA",,2,49.1,2015,2015-02-01 00:00:00
120,"North Port-Bradenton-Sarasota, FL",,2,75.6,2015,2015-02-01 00:00:00
